name,type,price_dk,season_availability,weight_g,length_cm,width_cm,height_cm,year,freight_charge
Lyssej,fish,107.53180851207686,Summer,574.5071229516849,33.22435347664345,7.311002024223814,6.298231821922203,2020,14.28536279517116
Rødspætte,fish,102.46881917720962,Winter,479.2603548243223,51.94109403047372,10.657907011601308,12.882443444943828,2023,11.796274603186934
Stenbider,fish,122.50204084843818,Winter,597.1532807151038,30.188344688603184,12.375577931164202,8.874253559462105,2023,14.126350195177816
Helt,fish,132.70206739897978,Summer,728.4544784612037,35.355957376906126,8.288078709399661,8.184110274623984,2024,7.753747023431323
Norske_kammusling_i_skal,fish,77.0723079237804,Spring,464.8769937914996,44.62060893251896,12.557405930298852,8.952480706775331,2024,14.124235995966577
Sandart,fish,103.44279556069307,Summer,464.8794564576229,47.83390509282596,6.312449206598751,13.059855498503904,2020,16.07430682975489
Laks_vild,fish,125.42693408786073,Winter,736.8819223261087,37.48461113955504,14.356353097547682,6.012813992137104,2020,17.11453277808367
Nordsøreje,fish,126.76813655030058,Autumn,615.1152093729363,34.02489805308358,10.042447794897274,5.759164162127222,2022,20.762349755384022
Signalkrebs,fish,93.35388731549884,Autumn,429.5788421097572,54.22369861698508,8.21076577609336,6.490267606856158,2024,12.622852840110978
Canadisk_hummer,fish,117.13363665483354,Autumn,581.3840065378947,57.388996637975794,9.102454682717696,8.064286293929122,2023,12.759990999497024
Rødspætte,fish,76.81452630611788,Spring,430.48734607813066,49.788580507817954,12.42675780817816,4.548457750374853,2021,4.4934066648003
Torsk,fish,94.85120062119888,Summer,430.1405369644615,40.85318142565024,8.246634124448686,8.044678478637216,2023,9.055507554763246
Helleflynder,fish,81.87936668162416,Spring,536.2943407349051,31.917342783590737,7.751926931731667,11.387094266827344,2024,10.611822459569582
Sild,fish,59.38808755344389,Autumn,213.00796330133036,31.695555934434346,9.335390207248786,8.302814781249555,2024,16.331469940471234
Torsk,fish,51.20408238219497,Winter,241.26232512304503,45.22514105265758,6.469113661690096,7.414629082049446,2023,8.689394829187707
Pighvar,shellfish,88.60534574966076,Autumn,415.6568706138541,44.18398220888684,15.461631723825446,6.763679102632745,2021,15.163164090844631
Sild,shellfish,78.52102335345677,Spring,348.0753319498364,54.01598592946429,8.300816226355831,9.79702340910313,2024,11.492540101968451
Multe,shellfish,113.1773557399862,Autumn,547.1370998892911,46.50450092536139,12.49485035854121,6.348334453523905,2022,10.685026670472098
Dansk_10-armet_blæksprutte,fish,74.4152333641754,Summer,363.7963886718184,24.96919698240182,10.628410250943318,11.692791841198495,2022,12.64491225801298
Torsk,fish,92.92161954331316,Spring,288.1544447997063,50.51947617722919,7.046397848554095,11.866719495428717,2020,9.700680687636924
Blåmusling,fish,112.86040111805698,Autumn,719.8473153382331,30.01939372685587,9.982135872361813,8.513501597323575,2020,9.526428658773739
Skærising,shellfish,71.29576985404842,Spring,466.1335549270197,36.16028728047648,12.352008337932244,7.976969823846709,2023,3.657984833365473
Signalkrebs,fish,96.14132983660072,Autumn,510.12923070318857,42.502002062516944,9.43521599474108,10.061319616483118,2020,10.359410646291709
Dansk_10-armet_blæksprutte,fish,86.95411896987183,Autumn,286.28777206798145,59.95667489783965,13.579338837553085,10.18959700445465,2023,9.29214652771586
